This report is based on the following selections
Site: Seward Highway @ Moose Pass MP 32
CDS Route Number: 1020000X000
Milepoint: 31.7
Period: Daily Averages for 31 Days Beginning 08/01/2019
Units: Degrees Fahrenheit

;"08/";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"01";"02";"03";"04";"05";"06";"07";"08";"09";"10";"11";"12";"13";"14";"15";"16";"17";"18";"19";"20";"21";"22";"23";"24";"25";"26";"27";"28";"29";"30";"31"
Air;59.0;62.4;65.2;66.6;70.5;72.1;69.6;62.9;61.5;61.4;62.3;64.9;63.7;66.1;67.1;69.0;60.9;51.5;50.8;47.7;50.4;49.9;50.0;50.3;56.2;54.8;51.3;52.2;50.6;51.9;54.6
Sfc;76.3;78.9;82.1;82.7;85.7;86.8;87.2;84.1;79.1;78.4;79.5;81.4;78.2;79.0;80.9;79.2;77.0;70.6;67.6;61.1;63.4;64.8;61.2;61.2;67.3;64.4;62.1;62.4;62.6;60.4;60.5
Btm;70.2;70.9;72.4;73.8;74.9;76.7;77.8;78.1;76.9;75.6;74.9;75.1;75.1;74.5;75.0;74.1;72.9;73.3;70.6;68.1;65.6;65.2;64.3;63.0;63.1;64.3;63.2;62.4;62.3;61.6;60.7
3";69.3;69.9;71.2;72.5;73.6;75.2;76.4;76.9;76.2;75.1;74.4;74.3;74.5;73.9;74.2;73.4;72.3;73.2;70.9;68.7;66.1;65.4;64.6;63.3;63.0;64.0;63.2;62.5;62.3;61.8;60.9
6";68.5;69.1;70.3;71.5;72.6;74.0;75.2;75.9;75.6;74.6;73.9;73.8;74.0;73.4;73.6;72.9;71.8;73.0;71.1;69.1;66.7;65.7;64.9;63.7;63.2;63.9;63.4;62.7;62.4;62.0;61.2
9";67.8;68.3;69.4;70.5;71.6;72.8;74.0;74.8;74.8;74.0;73.3;73.2;73.3;72.9;72.9;72.3;71.3;72.7;71.1;69.3;67.0;65.9;65.1;64.0;63.3;63.8;63.4;62.8;62.4;62.1;61.3
12";67.0;67.6;68.4;69.5;70.5;71.6;72.8;73.7;73.9;73.3;72.7;72.5;72.6;72.3;72.2;71.6;70.7;72.3;70.9;69.4;67.3;66.0;65.2;64.2;63.4;63.6;63.4;62.8;62.4;62.1;61.4
18";65.5;66.0;66.7;67.5;68.4;69.3;70.4;71.3;71.7;71.6;71.2;71.0;71.0;70.9;70.8;70.2;69.5;71.0;70.2;69.1;67.5;66.1;65.3;64.4;63.5;63.3;63.3;62.8;62.4;62.1;61.5
24";64.0;64.5;64.9;65.6;66.3;67.0;67.9;68.8;69.4;69.5;69.4;69.2;69.2;69.1;69.1;68.6;68.1;69.4;69.0;68.2;67.1;65.9;65.1;64.3;63.5;63.1;62.9;62.6;62.2;61.8;61.4
30";63.0;63.3;63.6;64.1;64.7;65.3;66.0;66.8;67.4;67.7;67.7;67.6;67.7;67.7;67.6;67.3;67.1;68.0;67.8;67.4;66.6;65.7;64.9;64.2;63.5;63.0;62.8;62.5;62.1;61.8;61.4
36";61.6;61.8;62.1;62.4;62.8;63.3;63.8;64.5;65.0;65.4;65.6;65.7;65.7;65.8;65.8;65.7;65.6;66.2;66.2;65.9;65.4;64.8;64.2;63.6;63.0;62.5;62.2;61.9;61.6;61.3;61.0
42";60.5;60.6;60.7;61.0;61.2;61.6;62.0;62.5;63.0;63.5;63.7;63.8;64.0;64.0;64.1;64.2;64.2;64.5;64.6;64.5;64.2;63.8;63.4;62.9;62.4;62.0;61.7;61.4;61.2;60.9;60.6
48";59.3;59.3;59.4;59.6;59.7;60.0;60.3;60.7;61.2;61.6;61.8;62.0;62.2;62.3;62.4;62.7;63.0;62.8;63.0;63.0;62.9;62.6;62.3;62.0;61.6;61.3;61.0;60.7;60.5;60.3;60.0
54";58.7;58.6;58.7;58.8;59.0;59.1;59.4;59.8;60.1;60.5;60.8;61.0;61.2;61.3;61.4;61.7;62.1;61.9;62.0;62.1;62.1;61.9;61.7;61.5;61.2;60.9;60.7;60.4;60.2;60.0;59.8
60";57.8;57.8;57.8;57.9;58.0;58.1;58.4;58.6;58.9;59.3;59.5;59.8;60.0;60.1;60.3;60.6;61.0;60.7;60.9;61.0;61.0;61.0;60.9;60.7;60.4;60.2;60.0;59.8;59.6;59.4;59.2
66";57.1;57.0;57.1;57.1;57.2;57.3;57.5;57.7;58.0;58.2;58.5;58.7;58.9;59.1;59.2;59.6;60.0;59.7;59.9;60.0;60.1;60.1;60.0;59.9;59.8;59.6;59.5;59.3;59.1;59.0;58.8
72";56.2;56.2;56.2;56.2;56.3;56.4;56.5;56.7;56.9;57.2;57.4;57.6;57.8;58.0;58.1;58.5;59.0;58.7;58.8;58.9;59.0;59.1;59.1;59.0;58.9;58.8;58.7;58.6;58.5;58.4;58.2
